"Beta(2,3)","Uniform(-1,5)",Poisson(2),Exponential(5),"Normal(1,2)","Uniform(-1,1)","Negative Binomial(15,0.4)","Normal(0,1)",Poisson(4),"Uniform(0,20)",Class
0.15140625140308314,2.5335813517681673,0,0.20692869757149082,4.087162394339899,0.09119634416921674,23,-0.09527402057735719,2,17.926085229746704,2
0.19380208067440824,3.1899659409014287,1,7.13268245137436,1.173628696875043,0.26228873197936187,37,0.642475860207113,3,2.649422831483368,0
0.6919327133705377,4.693673906306118,3,4.503435580244123,2.512098136067193,-0.3675111777878002,40,0.5237266729685401,5,14.42451093189149,1
0.7072097343610083,4.3169326052141255,2,0.17377101435610218,1.0403482793125316,0.11247642977197159,32,1.8503911594072833,2,17.60253463868694,9
0.772354299892795,-0.29650951900643063,2,0.9035946789293174,-2.032455102881133,-0.23358857660796306,20,-0.3418663750858747,2,16.54021380386571,9
0.3891379284945558,-0.5392558724820937,2,11.759290005295806,1.992870949874753,0.5501780447533968,29,1.2129887878166596,5,18.814302869730973,8
0.1603866278590012,4.208617141987043,4,10.664549083980209,2.7969690973948342,-0.06699846388739394,27,0.10679042136482429,6,9.581980523358467,8
0.8187379019588147,-0.37112255411422956,2,1.8646311138648273,1.0112303133529992,-0.6382138314113512,17,1.448207603995799,4,6.190290461894435,4
0.34055119224817465,0.4267529520337139,1,4.424750828461507,-0.9437843410051123,-0.3174979709474366,31,1.0405335797718032,6,10.784381754520641,2
0.08419874734531917,0.27983812688991017,2,2.6444177231631656,2.7960210645243713,0.8023125637482569,19,-0.45340734398895166,2,18.627555594544447,2
0.3745550680864854,3.2637476891168893,0,16.274971051512473,0.7289665576223205,0.9618172990308189,12,0.3871032198413046,7,8.671989260015984,7
0.009065160806082702,4.796789195759676,2,2.130587838311481,3.950260651374002,0.3677160652064433,12,1.4269502355450316,2,4.048249763216381,2
0.09420999014471586,2.8990267811565094,0,14.755762560495159,2.9526439024550464,-0.7174823179259964,20,1.4479792051238911,3,0.567078905759737,4
